"","word","sentiment","n"
"1","win","positive",77
"2","cool","positive",14
"3","knife","negative",13
"4","broke","negative",12
"5","free","positive",11
"6","awesome","positive",10
"7","holy","positive",10
"8","love","positive",10
"9","loot","negative",8
"10","ready","positive",7
"11","curse","negative",5
"12","lucky","positive",5
"13","rift","negative",5
"14","bad","negative",4
"15","excellent","positive",4
"16","loss","negative",4
"17","upgraded","positive",4
"18","discontinued","negative",3
"19","kill","negative",3
"20","nice","positive",3
"21","poor","negative",3
"22","support","positive",3
"23","award","positive",2
"24","bliss","positive",2
"25","creative","positive",2
"26","dead","negative",2
"27","fancy","positive",2
"28","hard","negative",2
"29","ideal","positive",2
"30","issues","negative",2
"31","lost","negative",2
"32","lying","negative",2
"33","mad","negative",2
"34","sad","negative",2
"35","super","positive",2
"36","tank","negative",2
"37","top","positive",2
"38","victory","positive",2
"39","winner","positive",2
"40","wrath","negative",2
"41","wrong","negative",2
"42","achievement","positive",1
"43","advanced","positive",1
"44","ax","negative",1
"45","badly","negative",1
"46","bashing","negative",1
"47","beautiful","positive",1
"48","beware","negative",1
"49","bitch","negative",1
"50","break","negative",1
"51","bumps","negative",1
"52","cheaper","positive",1
"53","classy","positive",1
"54","colorful","positive",1
"55","concern","negative",1
"56","concerns","negative",1
"57","confess","negative",1
"58","crappy","negative",1
"59","crashed","negative",1
"60","cry","negative",1
"61","damaged","negative",1
"62","dedicated","positive",1
"63","desperate","negative",1
"64","drain","negative",1
"65","easy","positive",1
"66","elite","positive",1
"67","excited","positive",1
"68","failure","negative",1
"69","fair","positive",1
"70","fake","negative",1
"71","false","negative",1
"72","fans","positive",1
"73","faster","positive",1
"74","fatal","negative",1
"75","fault","negative",1
"76","fear","negative",1
"77","freedom","positive",1
"78","fucking","negative",1
"79","genuine","positive",1
"80","glitch","negative",1
"81","greatness","positive",1
"82","happy","positive",1
"83","hate","negative",1
"84","hero","positive",1
"85","honest","positive",1
"86","ignore","negative",1
"87","incredibly","positive",1
"88","injury","negative",1
"89","inspiring","positive",1
"90","jealous","negative",1
"91","limited","negative",1
"92","loved","positive",1
"93","maturity","positive",1
"94","miracle","positive",1
"95","mistress","negative",1
"96","monster","negative",1
"97","nasty","negative",1
"98","outrageous","negative",1
"99","outrages","negative",1
"100","overheat","negative",1
"101","overpriced","negative",1
"102","overrated","negative",1
"103","peace","positive",1
"104","pep","positive",1
"105","pleasant","positive",1
"106","prefer","positive",1
"107","preferably","positive",1
"108","pretty","positive",1
"109","proficiently","positive",1
"110","proper","positive",1
"111","properly","positive",1
"112","qualify","positive",1
"113","regrets","negative",1
"114","reward","positive",1
"115","safely","positive",1
"116","sexy","positive",1
"117","shit","negative",1
"118","sick","negative",1
"119","smart","positive",1
"120","smell","negative",1
"121","smoke","negative",1
"122","steal","negative",1
"123","stuck","negative",1
"124","stunted","negative",1
"125","suck","negative",1
"126","suffered","negative",1
"127","terrible","negative",1
"128","throttle","negative",1
"129","tough","positive",1
"130","trash","negative",1
"131","trouble","negative",1
"132","trust","positive",1
"133","uncompromising","negative",1
"134","vengeance","negative",1
"135","wasting","negative",1
"136","wins","positive",1
"137","won","positive",1
"138","worry","negative",1
"139","worst","negative",1
